user_id,city,age,reg_method,reg_date,ex_date,gender
U4131,C13,27,R9,20131217,20170919,male
U3281,C5,46,R9,20080419,20170930,male
U4269,C5,19,R3,20140530,20171005,female
U11822,C22,35,R7,20130812,20170922,female
U20460,C15,45,,20170122,20170125,female
U2320,C22,25,R9,20131227,20180910,male
U1983,C4,17,R9,20130203,20180117,male
U15213,C13,48,R9,20110721,20171231,female
U1236,C13,31,R9,20070528,20170810,female
U15647,C5,31,R9,20050331,20170709,male
U4596,C6,31,R3,20160621,20170925,male
U16310,C8,20,R9,20150820,20171124,female
U22612,C12,34,R3,20130127,20170718,male
U23375,C13,30,R9,20150922,20170610,female
U5917,C13,36,R7,20110520,20170923,female
U18833,C13,21,R3,20150701,20171016,male
U17748,C11,41,R3,20140518,20171006,female
U6141,C5,29,,20111006,20170916,female
U18327,C8,34,R3,20150818,20170912,male
U2077,C13,31,,20080203,20170917,male
U9713,C5,41,R9,20090808,20180419,female
U13650,C15,22,R3,20120816,20180102,male
U9829,C13,38,R9,20101201,20161124,male
U3198,C13,31,R7,20110208,20170919,female
U9603,C22,20,R3,20120902,20171007,female
U19738,C22,39,R9,20070609,20171003,female
U7581,C15,32,R7,20110311,20180321,female
U6429,C22,33,R9,20100726,20180520,female
U15526,C5,26,R3,20160815,20161124,female
U22962,C13,36,R3,20161121,20161228,male
U2573,C13,29,R7,20150819,20180119,male
U5494,C13,20,R3,20151112,20180213,male
U3026,C4,32,,20160903,20171004,female
U5671,C13,31,R3,20131125,20180101,female
U7597,C15,23,R9,20110212,20161228,female
U9080,C3,22,R7,20131223,20180419,female
U10970,C4,29,,20061119,20170918,female
U12414,C22,29,R9,20070314,20171023,male
U7050,C13,28,R9,20110127,20171030,male
U15284,C1,24,R4,20161119,20170716,female
U12570,C5,24,R4,20161117,20170327,male
U950,C13,20,,20131217,20171028,female
U16770,C13,23,,20130211,20171030,female
U11492,C5,29,R4,20170112,20170221,male
U11048,C4,32,R9,20041025,20171001,female
U4718,C9,25,R3,20121018,20170917,female
U9987,C13,24,R3,20130822,20171005,female
U3615,C18,21,R9,20150614,20170812,female
U2840,C6,28,,20150117,20170923,female
U24263,C4,38,R9,20070719,20170124,female
U12398,C15,23,R3,20150411,20170610,male
U22853,C15,15,R4,20161209,20161213,female
U23893,C3,23,R4,20160228,20160302,male
U14675,C1,0,R3,20150804,20150811,male
U8442,C14,31,R9,20061122,20170917,male
U19375,C15,21,R9,20130423,20170904,male
U17265,C13,29,R9,20100614,20170718,female
U10133,C13,37,R9,20071224,20170930,female
U13695,C13,30,,20150817,20170424,male
U24375,C15,46,R4,20160219,20170611,male
U14041,C4,20,R9,20090209,20171210,male
U7343,C5,19,,20140510,20170920,male
U3315,C11,37,,20110613,20171004,male
U20629,C5,27,R9,20090527,20171020,female
U13727,C22,25,R9,20110412,20171022,female
U9992,C11,30,R9,20080407,20171001,male
U23139,C13,37,R9,20040802,20170930,male
U5685,C7,47,R3,20130916,20161204,male
U22317,C5,19,R3,20150319,20170904,male
U11128,C14,26,R3,20141120,20171026,female
U6602,C22,17,R9,20110630,20171002,female
U11629,C13,23,R3,20160305,20170909,male
U4226,C22,27,R9,20060704,20170930,male
U7464,C4,36,R9,20090620,20171005,female
U19115,C14,26,R7,20111018,20171004,female
U3844,C12,23,R3,20130106,20171006,male
U24418,C6,21,R3,20120106,20161231,male
U20729,C22,0,R9,20040718,20170918,female
U14299,C13,42,R9,20141122,20170920,male
U24220,C13,23,R9,20070909,20170922,male
U5964,C14,26,R9,20050707,20170909,female
U18536,C13,21,R3,20150714,20170907,female
U23231,C5,38,R9,20080123,20170930,male
U9880,C13,32,R4,20160228,20171004,female
U21237,C5,29,R3,20141025,20171118,female
U10341,C5,39,R9,20091001,20170930,female
U11696,C5,20,R9,20090220,20180623,male
U6922,C6,28,R9,20131227,20171027,male
U5636,C4,24,R3,20141007,20170610,female
U2365,C13,32,R7,20110914,20170708,female
U7315,C20,19,R9,20110924,20170930,female
U2585,C6,23,R9,20130523,20180329,female
U18795,C5,28,R4,20161130,20161207,male
U17655,C9,45,R9,20110622,20171013,female
U6811,C17,17,R9,20100821,20171006,female
U1313,C22,25,R9,20111108,20180826,female
U93,C22,26,R7,20130415,20170917,male
U6597,C14,18,R7,20110724,20170919,male
U19229,C1,19,R3,20160919,20170808,male
U15187,C13,23,R3,20121221,20171013,male
U15339,C15,40,,20160827,20171001,male
U10440,C13,26,R9,20160405,20171010,female
U801,C10,22,R7,20150926,20180111,male
U20584,C14,27,R3,20150320,20170927,male
U19993,C13,39,R3,20170122,20170125,female
U788,C5,29,R9,20100919,20171017,male
U7598,C4,29,R9,20040731,20170919,male
U2220,C1,20,R3,20150225,20170808,male
U15347,C13,39,R9,20070301,20170916,male
U10219,C15,31,R7,20111228,20170708,female
U7539,C15,32,R9,20080617,20180413,male
U21792,C4,19,R3,20150902,20170629,male
U259,C6,27,,20050423,20170930,female
U19499,C13,32,R3,20130128,20170812,male
U255,C21,27,R9,20070619,20171007,female
U4727,C12,32,R9,20070420,20180715,female
U12778,C10,15,R4,20161016,20170121,female
U14365,C22,27,R9,20140325,20180722,female
U266,C11,24,R9,20080330,20171028,female
U18498,C4,32,R9,20160831,20171003,male
U17446,C15,25,R9,20131016,20170922,female
U15262,C5,26,R4,20161112,20161214,male
U10057,C5,55,R9,20050322,20170926,male
U11776,C15,28,R9,20071229,20180930,female
U8086,C13,22,R9,20150318,20180928,male
U23649,C13,21,R3,20170106,20170109,female
U8574,C5,33,R3,20130411,20180128,male
U10582,C13,38,R9,20141220,20171212,male
U21020,C22,25,R9,20131017,20171003,female
U6889,C13,21,R3,20120711,20171024,female
U7007,C13,32,R7,20110303,20171007,male
U12877,C13,18,R7,20160612,20170912,male
U10570,C11,24,R9,20101225,20171022,male
U22574,C15,20,,20110616,20170220,female
U1378,C21,27,R7,20140609,20170930,male
U18688,C13,27,R3,20130512,20170821,male
U2913,C5,29,R9,20110417,20171020,male
U5827,C18,26,R3,20120904,20171016,male
U4029,C15,30,R3,20120718,20171008,male
U15277,C13,34,R7,20110809,20170909,female
U10555,C4,23,R3,20160826,20171001,male
U4035,C15,36,R3,20121215,20171119,female
U20681,C13,26,R9,20080217,20170911,male
U7946,C21,27,R7,20160206,20171005,male
U11009,C14,23,R7,20150221,20170930,female
U7232,C4,25,R7,20141113,20170930,female
U1163,C13,47,R9,20050220,20170914,female
U18521,C5,39,R9,20071101,20170930,male
U19825,C5,28,R9,20140508,20170814,female
U20259,C18,33,R3,20130321,20171013,female
U21900,C13,26,R9,20090307,20170930,male
U23599,C1,33,R4,20161224,20170224,female
U711,C4,31,R9,20141023,20170926,female
U4049,C13,41,R3,20130317,20170915,male
U23102,C22,24,,20121018,20170914,male
U7637,C12,0,R9,20160919,20171001,male
U8076,C13,30,R3,20131012,20171025,female
U19099,C4,15,R3,20170109,20170130,female
U13231,C5,23,R7,20141121,20170920,male
U8346,C10,23,R9,20141015,20170912,female
U3401,C3,27,R7,20111111,20170313,male
U23324,C5,25,,20130216,20150615,female
U22231,C5,32,R7,20131216,20171006,male
U488,C4,21,R9,20140720,20171026,female
U5417,C13,27,R7,20110210,20170930,female
U19694,C14,27,R9,20070210,20170920,female
U10147,C13,35,R9,20130214,20170925,female
U23242,C4,37,R3,20161206,20161209,male
U1655,C15,27,R9,20050319,20170930,male
U12354,C18,29,R9,20070727,20171006,male
U4295,C5,47,R7,20151004,20171004,male
U7580,C5,25,R3,20121206,20171005,male
U10650,C15,0,R9,20130429,20170908,female
U20932,C9,25,R9,20060401,20161010,female
U19793,C5,33,,20040328,20170910,female
U20489,C6,39,R9,20111028,20170930,male
U11131,C10,26,R7,20110516,20171002,male
U4086,C5,24,R7,20150317,20171006,male
U6274,C12,20,R7,20120711,20170912,male
U6761,C13,23,R9,20130427,20180714,female
U3408,C4,25,R9,20070416,20171027,female
U8738,C8,23,R9,20090608,20170319,female
U2946,C18,31,R9,20100416,20170921,male
U23017,C5,36,R7,20101028,20170915,female
U21845,C1,19,R3,20150404,20170905,male
U6061,C13,24,,20140215,20170805,male
U10451,C15,31,R9,20070210,20170923,female
U10508,C15,23,,20110114,20170726,male
U20626,C1,24,R4,20151128,20170910,female
U20029,C5,37,R4,20170126,20171001,female
U3701,C5,42,R3,20150102,20170928,male
U4741,C13,27,R3,20121116,20170908,male
U14468,C22,50,R3,20120601,20170612,female
U24047,C13,19,,20130217,20170414,male
U2227,C9,26,R3,20130612,20170921,female
U1932,C22,23,R9,20160821,20171008,male
U3928,C22,18,R3,20160213,20170715,male
U16780,C13,34,R3,20140104,20170815,male
U2048,C5,40,R9,20051019,20171020,male
U2915,C9,23,R7,20130626,20171003,male
U1671,C12,41,R3,20141018,20170721,male
U21897,C4,19,R4,20161107,20161205,female
U20549,C6,21,R3,20140615,20170609,female
U4463,C4,34,R9,20060225,20170919,male
U5923,C13,27,R3,20150411,20170920,female
U678,C6,30,,20111112,20180717,male
U15021,C13,29,R9,20080924,20170926,female
U22487,C4,19,R4,20160126,20170323,male
U11410,C6,27,R3,20130828,20171004,male
U14318,C6,0,R9,20151007,20170610,male
U8605,C13,20,R7,20161208,20171007,male
U9209,C13,19,R9,20111103,20171027,male
U20548,C13,32,R3,20150513,20171114,male
U8408,C9,25,R3,20150316,20170925,male
U16937,C1,21,R4,20170123,20170808,male
U10145,C5,26,R7,20150611,20170916,male
U21580,C13,37,R3,20150329,20170612,female
U12407,C5,29,R9,20121011,20170908,female
U10540,C5,26,R9,20040604,20171017,female
U14600,C12,19,R9,20110731,20171103,female
U10297,C13,25,R9,20100926,20181012,female
U4616,C15,22,R7,20160221,20170920,male
U15734,C13,44,R9,20161126,20170122,male
U18435,C5,16,R3,20121025,20170912,female
U3187,C13,23,,20090618,20170923,female
U6151,C5,28,R9,20040820,20171001,male
U15126,C13,31,R9,20101030,20170306,female
U20628,C6,28,R9,20120623,20170717,male
U5435,C4,29,,20060708,20170918,male
U2792,C5,23,R9,20110320,20170927,female
U3967,C22,50,R9,20100201,20170908,male
U11763,C5,30,R4,20161014,20180211,female
U15898,C22,30,R9,20060521,20170929,male
U20678,C13,45,,20070612,20171016,male
U5049,C8,30,R3,20120605,20170710,female
U11740,C13,29,R9,20051020,20170930,female
U338,C15,30,R3,20120901,20171001,male
U7881,C13,17,R7,20120105,20170920,female
U3809,C9,28,R9,20130315,20170712,male
U18409,C15,26,R4,20160615,20170923,female
U11121,C6,32,R9,20040806,20171021,female
U12859,C5,40,R9,20090624,20170216,male
U18803,C6,26,R9,20141116,20180115,male
U18294,C15,20,R9,20111119,20171024,female
U18221,C12,28,R9,20151015,20170914,female
U14546,C15,26,R9,20121103,20170711,male
U22927,C21,29,R9,20080622,20170924,male
U13940,C1,32,R3,20170115,20170919,female
U20617,C5,51,R9,20060930,20171020,female
U18761,C12,33,R9,20090717,20170808,male
U10883,C12,21,R9,20081028,20171029,male
U7542,C15,20,R3,20130825,20170904,male
U8536,C4,26,R7,20140625,20170528,female
U238,C5,55,R3,20131209,20170909,female
U16108,C1,34,R9,20070223,20170930,female
U10267,C13,36,R9,20111004,20171230,male
U21575,C1,20,R4,20161017,20161030,male
U14167,C4,20,R7,20141231,20170930,female
U19761,C15,31,R4,20160331,20171024,male
U2061,C4,26,R9,20060901,20170925,male
U22911,C1,0,R3,20150319,20161205,male
U12321,C16,26,R7,20101211,20170911,male
U24703,C4,19,R3,20150717,20150724,female
U6776,C13,41,R9,20161215,20171215,female
U3979,C4,26,,20111213,20140817,male
U22734,C8,17,R3,20130919,20130926,male
U19280,C15,22,R9,20100101,20170708,male
U9831,C5,23,R9,20140407,20170908,female
U16648,C21,25,R9,20101207,20170930,female
U13689,C13,48,R9,20060726,20170930,female
U16139,C13,23,,20110127,20170905,male
U12901,C11,26,R9,20111028,20170429,male
U11199,C5,24,R9,20120728,20171005,male
U5401,C13,27,R3,20130202,20170718,female
U15006,C5,17,R4,20160113,20170908,female
U24910,C22,55,R3,20160923,20160926,female
U18048,C5,27,R3,20140920,20171005,male
U13855,C4,25,R9,20101228,20170929,male
U9002,C14,34,,20151213,20170912,male
U1547,C22,20,R7,20110103,20171003,female
U9708,C13,24,R3,20130624,20170910,female
U468,C6,40,R3,20150203,20170823,male
U4910,C15,25,R3,20130223,20170911,male
U7319,C18,24,R7,20111125,20171001,male
U4746,C10,24,R3,20121027,20171005,female
U20028,C22,21,R3,20140815,20170912,male
U3369,C5,22,R9,20150405,20181013,male
U6841,C4,37,R3,20120601,20171002,male
U17523,C13,18,R3,20120705,20120712,male
U18452,C22,0,R7,20170117,20171001,male
U19204,C1,0,R7,20111226,20171003,female
U5765,C15,18,R4,20160605,20170709,female
U8936,C13,34,R4,20160904,20171027,female
U5132,C13,43,R9,20111124,20180912,male
U5875,C6,22,R9,20040725,20170922,female
U8106,C11,20,R3,20130205,20171027,female
U8611,C10,22,R9,20090419,20170914,male
U13079,C5,15,,20160628,20171005,female
U11444,C21,20,R9,20100727,20170922,male
U10858,C5,27,,20081008,20170917,female
U13404,C15,34,R9,20070819,20170306,male
U24091,C14,24,R9,20110518,20171120,female
U2002,C4,47,R9,20150317,20170930,female
U7503,C3,34,R9,20051105,20170914,female
U8304,C13,18,R9,20150611,20170919,male
U5484,C13,33,R9,20140812,20170901,male
U1276,C6,23,R9,20110817,20170807,male
U15559,C22,20,R4,20160625,20170922,female
U916,C22,29,R7,20131130,20180125,male
U22396,C13,31,R9,20151222,20180209,male
U4309,C13,26,R9,20110829,20171005,male
U6287,C21,23,R9,20121008,20170603,female
U18753,C4,35,R9,20101117,20170920,male
U18007,C18,0,R9,20141103,20141104,male
U21804,C9,24,R3,20120807,20161103,female
U16828,C5,29,R9,20160410,20180203,male
U12513,C5,36,,20101005,20170930,female
U287,C15,34,R9,20101114,20171123,male
U21508,C6,36,R9,20100708,20161103,male
U22094,C4,28,R3,20131029,20180218,female
U10222,C21,15,R3,20160825,20170612,female
U12396,C14,46,R3,20151221,20180730,female
U15965,C15,35,R9,20050924,20180106,female
U1304,C5,40,,20110214,20170930,female
U16561,C13,27,R9,20110712,20170712,female
U20060,C22,22,R3,20121028,20171007,male
U6842,C11,20,R9,20110817,20180725,female
U16816,C13,33,,20160624,20170930,female
U18053,C1,24,R4,20161018,20171005,male
U10887,C17,29,,20080930,20171017,male
U23860,C4,17,R7,20170128,20170930,male
U4072,C22,21,R9,20110927,20180626,male
U16083,C21,33,R7,20110126,20170930,male
U9445,C13,26,R9,20111103,20171001,female
U12170,C5,47,R3,20150519,20171020,female
U1520,C11,21,R3,20131006,20170913,male
U22943,C6,21,R7,20130406,20170812,male
U5099,C1,0,R7,20100723,20170930,female
U1255,C1,20,R3,20140906,20171019,female
U10954,C6,58,R9,20100219,20171231,female
U9651,C5,26,R3,20130709,20170921,male
U16006,C13,24,R9,20140614,20180225,female
U3263,C4,27,R3,20151122,20170809,male
U4553,C6,19,R3,20141130,20170831,male
U14195,C11,61,R9,20120609,20170915,male
U3421,C4,39,,20110910,20170905,male
U271,C5,33,R9,20110131,20180602,female
U10639,C22,24,R3,20141030,20170915,female
U10495,C13,21,R9,20111120,20170714,female
U1339,C13,26,R9,20090717,20170912,male
U1353,C13,20,R9,20140218,20171013,female
U11461,C5,18,R9,20150216,20170915,female
U10332,C5,19,R3,20130412,20170719,male
U17928,C13,27,R9,20061120,20171006,male
U4684,C13,111,R3,20150914,20171219,female
U17351,C1,0,R7,20110908,20170915,male
U5686,C22,44,R3,20161218,20170108,male
U8021,C5,28,R9,20150206,20171231,female
U4163,C13,25,R9,20071010,20170930,female
U5357,C22,28,R7,20111228,20170930,male
U4512,C13,20,R3,20120111,20171027,male
U7929,C4,46,R9,20141007,20180420,female
U10829,C15,26,R9,20100104,20170918,female
U2643,C5,18,R9,20130922,20170926,male
U5197,C4,31,R3,20150502,20170909,male
U14290,C5,34,R9,20040410,20180127,male
U13126,C15,20,R3,20140419,20170710,female
U5311,C13,27,R9,20130908,20171012,male
U14324,C13,38,,20121217,20170923,female
U6789,C5,38,R9,20070128,20180628,female
U14026,C9,20,R9,20070925,20170930,male
U13013,C4,26,R9,20150419,20170920,male
U21413,C4,21,R9,20100726,20170827,female
U8628,C5,20,R4,20160202,20170303,female
U16808,C5,26,R3,20161026,20171006,male
U16215,C13,36,,20131007,20170909,female
U8788,C1,27,R3,20140913,20170901,male
U3094,C21,28,R9,20110319,20170923,male
U13490,C5,42,R7,20110905,20171221,female
U18636,C5,22,R3,20151206,20170708,female
U15991,C22,27,R9,20150818,20170930,male
U18575,C4,33,R7,20130223,20170930,male
U4089,C13,26,R9,20070323,20170914,female
U13661,C6,30,R9,20141213,20170907,male
U18569,C5,24,R4,20160822,20171018,female
U1911,C13,23,R9,20100722,20171002,female
U20749,C5,23,R4,20151115,20161213,male
U10230,C21,20,R7,20111028,20170930,female
U7223,C13,28,R4,20151124,20170921,female
U17963,C5,39,R7,20101104,20171004,female
U7684,C15,21,R9,20090418,20170923,male
U5932,C1,22,R7,20130326,20171001,female
U16602,C8,20,R7,20161112,20170911,male
U12924,C13,21,R3,20140927,20180723,female
U2513,C4,24,R9,20111031,20170930,male
U9324,C9,32,R7,20111226,20170920,male
U9699,C5,32,R9,20040331,20171023,female
U10487,C12,49,R9,20141117,20181018,male
U21380,C5,27,R9,20121101,20171001,male
U21817,C15,27,R9,20110907,20180426,female
U5277,C5,29,R9,20110506,20171003,male
U8363,C22,29,R3,20111218,20170925,male
U19173,C22,23,R9,20130803,20170916,female
U783,C22,39,R9,20100513,20170909,female
U1598,C6,22,R9,20140417,20170925,male
U13999,C13,29,R9,20080506,20171009,male
U15936,C1,24,R3,20160418,20170927,male
U11674,C13,27,R7,20130815,20171003,male
U970,C12,30,R3,20130811,20180520,male
U3156,C22,26,R3,20140201,20171223,male
U15088,C3,33,R9,20040716,20171017,female
U16572,C5,36,R7,20110127,20170917,female
U4672,C13,50,R9,20090629,20180817,female
U17308,C4,17,R4,20151212,20170609,female
U19249,C6,36,R9,20070718,20180707,male
U6201,C6,32,R9,20051029,20170930,female
U10322,C13,18,R4,20160819,20170916,female
U4646,C13,32,R3,20150416,20171023,male
U19883,C1,13,R3,20170115,20170118,female
U7488,C22,26,R7,20130111,20170927,female
U8248,C18,22,R9,20151124,20180314,female
U21398,C4,17,R4,20160916,20170107,female
U13078,C5,43,R3,20120108,20171018,male
U24294,C1,23,R4,20161206,20170614,female
U4800,C4,33,R9,20041112,20180331,male
U10628,C22,19,R4,20151203,20170811,male
U11635,C3,22,R4,20161109,20161207,female
U4748,C6,15,R3,20161223,20161226,female
U12076,C5,33,R9,20060820,20171001,female
U2359,C5,30,R4,20161108,20170918,male
U17884,C11,32,R9,20070615,20170930,female
U13701,C14,20,R9,20160227,20171122,female
U18253,C12,21,R9,20110522,20110523,male
U9021,C12,36,R9,20110828,20170920,female
U6508,C3,28,R9,20120721,20171002,male
U24894,C6,66,R9,20050521,20171027,male
U12606,C6,30,R9,20070524,20170930,male
U15884,C22,27,R9,20111224,20171026,male
U14799,C5,44,R9,20070827,20161231,female
U18615,C6,46,,20110802,20180203,female
U6471,C8,22,R9,20070711,20170919,female
U21970,C14,0,R9,20050916,20171004,female
U8902,C13,25,R7,20130109,20170918,male
U3504,C22,23,R3,20121017,20171110,male
U8554,C5,24,R7,20120706,20170805,male
U23131,C5,25,R7,20110815,20171014,female
U5823,C1,20,,20151121,20161119,female
U15341,C22,31,R3,20150705,20171003,female
U727,C13,28,R9,20090224,20171019,male
U1968,C13,32,R9,20040328,20171001,male
U18830,C5,19,R4,20170108,20170111,male
U20170,C15,35,R9,20080819,20171002,female
U13399,C6,38,R9,20120903,20171004,female
U7430,C13,17,R9,20160120,20170907,female
U16447,C5,0,R9,20050313,20180710,female
U3499,C4,29,R9,20070929,20171009,female
U8012,C14,18,R9,20150815,20171004,female
U12544,C5,28,R9,20111113,20171015,female
U17912,C9,34,R7,20130523,20170930,male
U19425,C12,19,R3,20170124,20170127,male
U1491,C14,28,R9,20100219,20170907,male
U17136,C5,31,R3,20130305,20170907,female
U18762,C22,35,R3,20150130,20170807,male
U4798,C13,26,R9,20110127,20170930,female
U7863,C9,19,R7,20150428,20151120,male
U16051,C9,26,R3,20150926,20170915,male
U10756,C13,0,R9,20041218,20170925,female
U17216,C14,40,R9,20070130,20170930,male
U17053,C1,27,R4,20161101,20170508,female
U6352,C4,25,R7,20130123,20170922,male
U15366,C22,20,R3,20160416,20161216,female
U15536,C11,24,R9,20140728,20170910,male
U1155,C22,26,R9,20150904,20170907,female
U5428,C13,37,R9,20131202,20171002,male
U8845,C13,20,R9,20110521,20171007,male
U166,C22,26,R9,20080129,20170928,male
U9885,C13,26,R9,20110730,20170501,male
U2310,C13,33,R9,20040723,20171016,female
U1719,C13,27,R3,20141128,20170908,female
U10777,C6,0,R3,20141011,20170412,female
U10914,C5,21,R3,20130119,20180430,male
U8167,C8,26,R9,20150508,20171225,female
U15519,C5,36,R7,20101023,20170923,male
U21019,C6,28,R9,20090120,20171001,female
U1359,C13,27,R9,20121002,20180220,male
U15627,C14,0,R3,20141213,20170923,male
U15716,C13,14,R4,20160803,20170711,male
U10636,C22,35,R9,20150331,20170925,female
U464,C15,33,,20080707,20170930,female
U20208,C5,22,R4,20161204,20161208,male
U8415,C15,25,R3,20151104,20170915,male
U5630,C10,31,R7,20110613,20171007,female
U4856,C13,26,R9,20120912,20170915,female
U22647,C13,48,,20120513,20120520,female
U6864,C4,30,R9,20151124,20180224,male
U15880,C22,19,R3,20130120,20170817,female
U21250,C4,29,R4,20160621,20160624,female
U18684,C20,17,R3,20151003,20151010,female
U22300,C4,29,R3,20121231,20171015,female
U617,C21,21,R9,20080818,20170917,female
U23044,C12,20,R3,20161218,20161221,male
U19061,C15,23,R4,20160924,20170926,male
U10920,C5,45,R9,20071115,20170919,female
U19905,C1,29,R4,20161106,20170616,female
U2641,C5,26,R9,20070926,20170320,female
U10156,C22,28,R7,20130814,20171215,male
U12281,C15,29,,20160928,20171118,male
U13020,C5,45,R9,20110127,20170922,male
U3656,C1,27,R3,20150521,20170801,male
U9372,C6,27,,20150602,20171006,female
U7970,C22,39,R3,20160919,20170921,male
U18755,C15,18,R4,20161229,20170223,male
