imdb_score,movie_facebook_likes,duration,num_user_for_reviews,director_facebook_likes,title_year,color
5.8,13000,158,1055,776,2009,Color
6.8,0,96,249,0,2009,Color
5.4,44000,127,720,0,2015,Color
6.6,29000,110,239,282,2016,Color
6.9,0,150,1463,80,2005,Color
7.3,54000,144,622,0,2016,Color
9,37000,152,4667,22000,2008,Color
8.3,27000,96,704,0,2009,Color
6.5,0,94,187,11,2009,Color
7.9,10000,126,1055,4000,2008,Color
7.5,42000,126,678,17000,2011,Color
4.8,0,106,648,188,1999,Color
5.2,0,112,501,357,2008,Color
6.9,80000,123,971,452,2016,Color
5.4,2000,96,257,293,2007,Color
7.9,77000,113,741,218,2014,Color
6.1,0,176,309,58,1995,Color
5.8,0,118,534,208,2009,Color
8.3,118000,95,773,0,2015,Color
7.8,65000,106,398,4000,2016,Color
7,18000,124,723,4000,2010,Color
6.1,53000,132,710,274,2012,Color
7,89000,97,634,171,2014,Color
7.6,45000,130,620,198,2014,Color
4.5,677,109,15,596,2015,Color
6.3,35000,128,324,47,2013,Color
7.8,55000,136,742,94,2014,Color
6.4,0,93,173,31,2010,Color
6.5,37000,130,497,663,2015,Color
7.9,41000,102,433,38,2014,Color
7.8,40000,101,345,66,2012,Color
6.6,10000,100,444,0,2004,Color
5.5,67000,120,520,776,2016,Color
8.2,33000,98,492,255,2010,Color
6.4,0,109,1676,84,2003,Color
8.1,96000,121,1097,571,2014,Color
8.6,349000,169,2725,22000,2014,Color
8.8,175000,148,2803,22000,2010,Color
8.2,0,120,13,28,2016,Color
7.9,166000,182,1367,0,2012,Color
6.7,14000,106,988,357,2001,Color
7.8,23000,166,822,21000,2008,Color
7.8,54000,132,698,905,2011,Color
6.6,38000,137,383,508,2015,Color
6.1,11000,109,238,226,2010,Color
5.6,0,98,629,249,2006,Color
6.4,30000,113,131,33,2016,Color
6.1,0,93,326,50,2007,Color
7.3,89000,123,781,0,2016,Color
6.6,82000,126,867,230,2015,Color
6.3,11000,113,227,150,2010,Color
6.1,0,184,1999,0,2001,Black and White
7.1,8000,144,1782,0,2007,Color
5.5,0,206,1390,0,2004,Color
7.5,0,138,1108,282,2007,Color
7.6,0,157,1896,179,2005,Color
6.4,0,102,590,532,2008,Color
7.2,11000,104,1413,508,2007,Color
6.7,0,115,1361,13000,2005,Color
8,10000,111,626,663,2007,Color
8.3,15000,128,2685,22000,2005,Color
6.7,0,89,119,35,2008,Color
5.9,2000,105,209,189,2009,Color
6.7,0,119,641,151,2009,Color
6.7,0,129,2121,0,2003,Color
7.6,58000,102,904,69,2013,Color
7.2,0,138,2789,0,2003,Color
7.1,63000,112,532,230,2013,Color
8.1,191000,120,1588,750,2015,Color
6.7,0,146,435,2000,2009,Color
7,63000,115,738,0,2011,Color
6.9,0,96,178,59,2008,Color
5.1,0,88,90,12,2009,Color
5.8,19000,99,253,473,2012,Color
6.2,82000,113,479,13000,2012,Color
7.4,47000,131,440,188,2015,Color
5.8,0,119,432,394,2010,Color
6.2,0,91,206,58,2007,Color
7.3,20000,90,209,90,2011,Color
4.2,18000,103,1382,0,2010,Color
6.9,0,124,871,14000,2006,Color
6.4,33000,131,434,776,2013,Color
5.4,0,88,112,25,2011,Color
6.7,0,85,122,42,2006,Color
5.8,24000,111,186,456,2015,Color
6.9,11000,92,130,50,2014,Color
7.2,0,196,1694,249,2004,Color
6.9,17000,93,154,35,2012,Color
6.1,0,133,1185,93,2002,Black and White
5.5,62000,116,1211,176,2016,Color
6.6,11000,153,1171,0,1998,Color
6.1,2000,88,606,188,2002,Color
6.3,3000,115,505,0,2007,Color
7.2,24000,95,145,5,2016,Color
7.4,35000,133,512,663,2011,Color
7.3,25000,97,174,52,2012,Color
6.1,2000,90,258,23,2005,Color
7.7,0,154,928,380,2003,Color
6.1,51000,150,657,0,2014,Color
8,19000,127,1559,14000,2009,Color
7.3,5000,121,2012,0,2002,Color
7.9,46000,102,343,255,2014,Color
5.5,24000,126,273,295,2016,Color
5,0,121,388,357,2005,Color
7.7,18000,215,1229,0,2009,Color
6.6,0,127,287,503,1998,Color
5.7,0,138,1445,0,2003,Color
5.8,42000,122,288,209,2013,Color
6,0,124,463,42,2005,Color
6.4,0,106,788,6,2001,Color
6.9,46000,124,679,394,2011,Color
6.4,2000,128,683,150,1999,Color
7.4,0,138,684,608,2003,Color
5.5,65000,115,329,386,2012,Color
5.9,0,100,79,750,2011,Color
6.8,0,135,643,255,2008,Color
7.5,0,60,74,,,Color
6.8,27000,117,106,14000,2016,Color
8.1,190000,156,1188,0,2015,Color
6.5,13000,96,90,13,2013,Color
7.2,26000,107,337,563,2011,Color
6.7,11000,92,118,35,2014,Color
8.1,0,115,820,521,2007,Color
7.6,6000,92,360,54,2008,Color
7.4,61000,117,549,235,2015,Color
7.6,82000,146,706,508,2013,Color
6.7,26000,94,214,12,2015,Color
6.5,0,116,2741,14000,2005,Color
6.6,0,147,511,0,2003,Color
6.7,16000,90,137,50,2011,Color
6.4,23000,101,514,176,2010,Color
5.8,71000,138,1240,0,2014,Color
7.4,44000,107,447,14000,2011,Color
7.8,11000,142,1504,0,2004,Color
6.6,0,165,450,1000,2008,Color
4.9,37000,100,744,0,2013,Color
6.5,0,82,241,0,2000,Color
7.5,40,,2,0,2011,Color
6.2,11000,98,126,189,2014,Color
7.3,13000,95,187,96,2010,Color
7.5,16000,159,1571,0,2001,Color
5.6,20000,96,210,124,2013,Color
8.1,10000,143,2113,563,2003,Color
6.4,25,,2,0,2010,Color
6.7,52000,123,591,508,2014,Color
6.6,0,174,1966,2000,2006,Color
6.4,0,101,99,107,2014,Color
7.5,0,134,1055,0,2003,Color
7.3,54000,132,366,681,2011,Color
7.5,39000,129,412,0,2011,Color
5.8,15000,106,637,255,2010,Color
7.5,0,113,391,719,1990,Color
6.6,0,102,546,323,1999,Color
6.7,31000,135,504,209,2012,Color
3.7,0,125,1018,541,1997,Color
6,0,110,482,2000,2000,Color
6.4,19000,124,1159,776,2004,Color
6.1,0,123,1426,610,2000,Color
6.4,0,130,779,249,2000,Color
5.6,0,92,436,167,2007,Color
8,122000,127,755,0,2012,Color
5.2,0,123,681,160,2007,Color
7.1,31000,123,297,521,2016,Color
4.8,0,107,554,368,2003,Color
7,97000,124,2326,0,2012,Color
5.4,459,77,69,50,2002,Color
6.6,61000,109,814,662,2013,Color
6.7,0,134,666,123,2004,Color
6.2,60000,117,630,294,2014,Color
6.1,0,135,414,0,2008,Color
5.3,0,121,196,274,2010,Color
6.3,11000,117,348,446,2010,Color
7,71000,124,892,364,2013,Color
7.6,10000,140,3286,0,2005,Color
6.7,0,142,3516,0,2002,Color
8.1,0,92,593,0,2001,Color
6.7,68000,138,533,446,2013,Color
6.5,13000,136,3597,0,1999,Color
7.3,28000,98,195,16,2013,Color
5.1,291,116,36,0,2008,Color
6,0,153,454,610,2002,Color
6.1,16000,120,134,19,2016,Color
5.9,62000,101,491,473,2014,Color
7.8,147000,91,1885,0,2013,Color
5.8,0,108,277,79,1997,Color
6.3,12000,112,115,13,2016,Color
4.3,41000,100,695,128,2015,Color
6.4,3000,108,444,189,2006,Color
6.1,52000,114,499,62,2015,Color
6.5,0,119,328,55,1997,Color
7.1,4000,142,1144,776,2000,Color
6.4,0,125,627,0,2004,Color
6.5,0,126,798,218,2005,Color
6.3,27000,119,258,124,2015,Color
7.5,0,170,799,17000,2004,Black and White
4.9,0,85,121,11,2010,Color
5.8,14000,119,443,1000,2011,Color
7.6,0,60,97,,,Color
6.2,71000,102,523,263,2014,Color
5.5,31000,103,153,67,2011,Color
5.4,304,76,88,6,2004,Color
5.8,12000,120,144,124,2016,Color
7.1,36000,127,426,189,2011,Color
5.4,0,105,59,67,2013,Color
3.7,894,121,248,101,1997,Color
6.7,123000,114,554,151,2013,Color
7.2,0,129,782,235,2007,Color
8.8,21000,171,5060,0,2001,Color
5.8,0,120,191,153,2004,Color
6.8,0,165,386,0,2001,Black and White
3.8,946,82,456,34,2003,Color
7.1,0,115,789,295,2004,Color
7.2,0,194,942,0,2005,Color
5.9,0,84,179,50,1999,Color
7.1,5000,97,214,63,2009,Color
8.1,153000,151,1023,0,2015,Color
7.2,0,22,,0,,
6.9,0,136,899,0,2005,Color
4.4,53,104,89,23,2001,Color
6.5,0,127,498,57,2000,Color
8.5,21000,171,2368,0,2000,Color
7.7,0,145,1331,14000,2002,Color
7.4,0,174,858,0,2002,Color
8,0,144,2301,258,2006,Black and White
5.7,0,119,1368,13000,2001,Color
8.5,13000,153,983,0,1991,Color
7,0,140,585,0,2009,Color
7.8,0,176,458,0,2007,Color
7.2,0,141,351,0,1994,Color
6.4,0,106,285,12000,2009,Color
5.5,0,98,152,80,2010,Color
6.7,16000,116,316,285,2010,Color
6.1,0,115,131,55,1996,Color
8.5,199000,165,1193,16000,2012,Color
6.9,0,91,230,21,1996,Color
7.3,0,78,297,10,2000,Color
6.7,108000,103,474,165,2012,Color
6.9,0,131,692,226,2004,Color
5.1,0,104,1690,14,2006,Black and White
6.8,11000,101,388,0,2009,Color
6.7,17000,102,113,77,2013,Color
6,25000,103,374,207,2010,Color
5.7,2000,121,524,0,1999,Color
8,14000,143,657,380,2006,Color
8.2,138000,240,1138,17000,2013,Color
5.4,0,121,539,541,1995,Color
7.2,0,129,1049,719,1997,Color
7.5,124000,172,828,670,2012,Color
7,16000,101,160,0,2010,Color
3.3,0,87,660,26,2004,Color
6,21000,101,269,420,2014,Color
7.1,0,95,217,63,2002,Color
5.4,0,102,224,52,2009,Color
6.1,56000,131,351,385,2014,Color
5.3,37000,114,163,19,2015,Color
2.2,881,94,239,6,2005,Color
7,27000,122,161,2000,2015,Color
3.8,416,95,164,31,2002,Color
6.9,0,115,261,521,2010,Color
7.2,33000,88,155,20,2015,Color
7.3,578,110,263,342,1997,Color
6.3,0,130,890,208,2001,Color
7.5,0,216,1166,17000,2002,Color
7.6,13000,146,130,611,2011,Color
6.8,0,85,112,9,2007,Color
5.2,0,93,407,0,2004,Color
7.7,10000,152,1103,0,2001,Color
6.2,18000,85,177,116,2012,Color
7.7,18000,126,742,0,1997,Color
4.3,0,146,293,127,2010,Color
6.9,0,89,139,10,2000,Color
6.6,14000,88,139,20,2012,Color
7,56000,105,322,0,2015,Color
6.7,16000,135,593,0,2009,Color
8.2,11000,100,866,475,2003,Color
8.9,16000,192,3189,0,2003,Color
8.7,10000,172,2417,0,2002,Color
5.5,16000,102,154,44,2014,Color
5.7,0,100,824,165,2001,Color
6.3,37000,119,462,0,2014,Color
5.9,0,92,1236,394,2001,Color
7.6,47000,105,646,81,2011,Color
6.6,0,107,125,70,2008,Color
5.3,66000,101,503,212,2013,Color
6,701,137,267,102,2004,Color
8,0,115,815,663,2004,Color
5.6,1000,124,169,212,1995,Color
5.9,9000,118,419,0,2010,Color
7.3,0,98,289,188,1997,Color
7.9,0,82,515,487,1999,Color
6.8,18000,98,326,12000,2010,Color
6.6,0,90,394,420,2001,Color
6.6,0,130,683,0,2000,Color
7,0,90,156,97,2009,Color
7,0,94,132,107,2009,Color
7.3,70000,114,515,0,2013,Color
5.5,0,94,643,368,2000,Color
8.5,29000,151,2054,17000,2006,Color
7.5,12000,88,222,7,1998,Color
7,0,121,577,0,2008,Color
7.8,54000,158,632,21000,2011,Color
7.6,0,128,346,323,1995,Color
7.6,20000,128,621,0,2009,Color
6.1,0,141,1,335,2016,Color
6.8,0,95,289,21,2001,Color
5,0,92,53,12,2015,Color
7.1,0,121,440,0,2008,Color
5.5,0,113,380,221,2008,Color
5.6,39000,106,342,0,2015,Color
7.1,11000,146,2153,14000,2001,Color
4.9,988,88,179,50,2003,Color
7.4,15000,150,611,0,1997,Color
5.7,0,119,628,719,2000,Color
6.4,0,128,411,521,2005,Color
5.9,28000,106,204,87,2013,Color
5.5,0,117,316,101,2003,Color
6.9,15000,129,139,209,2016,Color
6.2,0,116,184,176,1997,Color
7,0,114,361,12000,2001,Color
5.6,0,114,949,0,2000,Color
7,19000,96,186,107,2011,Color
6.8,0,132,362,0,1999,Color
5.4,2000,104,181,81,1997,Color
6.1,979,111,114,79,1997,Color
6.7,0,138,278,0,2002,Color
6.9,0,129,337,468,1982,Color
8,0,144,529,2000,2005,Color
4.4,788,110,24,96,2010,Color
7.3,0,140,455,378,2003,Black and White
6.3,0,113,395,101,1996,Color
7.7,23000,143,1051,0,2000,Color
6.5,0,108,548,750,2006,Color
7.8,0,108,806,521,2004,Color
6.4,0,124,393,249,1997,Color
7.8,0,116,845,0,2001,Color
5.8,19000,110,254,545,2011,Color
7.1,28000,91,168,266,2012,Color
7.1,0,107,399,36,2007,Color
8.6,59000,44,270,,,Color
6.8,19000,115,276,79,2012,Color
4.8,372,100,77,36,2000,Color
6.2,0,104,194,420,2011,Color
6.9,19000,138,483,278,2006,Color
7.3,0,140,415,12000,1998,Color
6.6,0,120,214,278,2009,Color
6.9,0,122,288,0,2007,Color
6.2,863,83,100,28,2006,Color
6.7,49000,139,713,168,2014,Color
7.6,0,131,662,218,2001,Color
6.7,0,104,255,532,2003,Color
6.2,0,130,257,323,1993,Color
7.3,0,145,548,252,2005,Color
6,0,104,378,681,2006,Color
7.1,0,97,78,6,2011,Color
7.1,10000,178,703,102,1998,Color
5.5,941,108,339,99,2002,Color
7.8,0,123,146,189,1979,Color
5.6,18000,106,208,763,2012,Color
7.5,36000,112,522,1000,2010,Color
5.4,0,135,466,36,2003,Color
4.3,374,109,171,88,2000,Color
4.9,0,86,521,67,2002,Color
7.1,46000,95,588,38,2012,Color
6.4,7000,107,685,153,2006,Color
6.9,0,130,211,0,1982,Color
4.3,0,82,63,62,2010,Color
6.1,0,88,488,218,2008,Color
7,3000,120,342,0,2008,Color
7.7,12000,162,589,21000,2007,Color
5.9,0,123,289,55,2000,Color
6.7,0,101,604,293,2003,Color
6.5,57000,113,741,13000,2010,Color
7.1,0,110,378,0,1996,Color
7.3,140000,142,1959,378,2012,Color
6.5,56000,102,402,480,2011,Color
7,0,126,610,13000,1992,Color
6.8,0,83,250,12,2006,Color
7.2,0,85,367,255,2002,Color
6.4,0,97,102,56,2006,Color
6.1,0,120,493,75,1998,Color
6.7,22000,116,205,23,2013,Color
6.4,0,113,316,88,2005,Color
4.4,0,87,56,31,2011,Color
5.4,14000,101,255,221,2013,Color
6.5,0,110,380,88,2008,Color
6.7,0,128,402,278,2003,Color
8.1,53000,138,964,17000,2010,Color
5.6,0,88,124,91,2008,Color
6.3,0,91,269,77,2005,Color
7.3,11000,138,535,610,1997,Color
6.1,0,99,116,163,2008,Color
7.7,0,117,1009,0,2002,Color
6.4,19000,117,203,221,2011,Color
8.8,55000,54,394,,,
6.8,0,123,339,165,1997,Color
6.6,0,118,318,154,2008,Color
7.2,0,154,674,333,2003,Color
6.9,20000,118,560,117,2010,Color
5.2,0,90,64,10,1997,Color
4.9,0,113,805,101,1999,Color
6.3,0,88,123,30,1996,Color
5.6,0,93,424,189,2006,Color
5.5,0,104,698,301,2008,Color
6.7,0,135,162,503,1997,Color
7.6,82000,134,701,452,2014,Color
5.7,0,98,164,425,1998,Color
4.6,0,80,100,40,2010,Color
7,4000,83,216,21,2002,Color
5.2,0,102,127,153,2011,Color
5.1,0,130,370,81,1998,Color
6.6,0,129,363,438,2004,Color
7,91,117,40,69,1997,Color
6.7,16000,89,97,266,2015,Color
7.6,0,25,71,,,Black and White
7.3,607,74,186,11,1999,Color
5.9,3000,96,615,25,2002,Color
5.6,0,114,88,31,1998,Color
6.5,0,99,543,57,2001,Color
5.9,951,129,244,258,2005,Color
7,32000,113,619,25,1998,Color
5.3,0,90,237,65,2000,Color
5.9,0,118,492,0,2005,Color
6.3,0,106,405,13000,1996,Color
6.4,257,81,3,92,2015,Color
6.9,0,117,182,93,1997,Color
6.3,0,89,252,84,2009,Color
7.3,0,145,315,79,2000,Color
5.8,0,114,101,357,1996,Color
5.2,0,87,66,43,2013,Color
2.4,0,119,1308,64,2000,Color
5.7,665,91,160,287,2003,Color
5.8,0,118,232,252,2009,Black and White
5.6,0,116,457,503,2003,Color
6,0,177,376,0,1997,Color
5.8,964,97,216,750,1998,Color
6,21000,106,117,42,2015,Color
5.7,995,106,348,14,2000,Color
6,941,94,64,0,2006,Color
7.8,0,104,42,63,2009,Color
4.2,785,102,301,0,2005,Color
5.6,20000,105,308,545,2014,Color
4.4,138,89,1,0,2015,Color
8.2,29000,135,1171,2000,2001,Color
8.5,17000,73,656,28,1994,Color
5.8,0,94,133,62,2012,Color
6.5,15000,95,85,18,2013,Color
7.2,0,124,764,420,2002,Color
6.7,0,136,345,394,2004,Color
3.4,0,91,264,221,2011,Color
5.9,0,107,370,309,2003,Color
7.8,31000,108,64,54,2015,Color
5.9,0,99,273,101,2007,Color
4.1,413,92,197,5,2000,Color
6.8,36000,87,155,11,2016,Color
5.8,0,110,786,45,2003,Black and White
7.5,56000,98,284,275,2013,Color
6.9,16000,154,856,776,1996,Color
6.5,0,129,552,14000,1997,Color
6.9,0,86,385,35,2005,Color
7.9,17000,109,1206,0,2006,Color
7.4,0,104,1401,0,2000,Color
6.7,0,110,713,335,2008,Color
7.4,51000,136,415,0,1996,Color
6.9,0,115,253,107,2006,Color
6.8,11000,99,456,88,2004,Color
6.7,0,117,401,163,2007,Color
5.1,893,125,308,212,2004,Color
4.1,509,110,231,16,1999,Color
7.3,105000,125,629,255,2013,Color
6,12000,102,311,221,2010,Color
7.3,16000,128,596,14000,2004,Color
7.5,10000,43,94,,,Color
5.4,1000,100,57,87,2009,Color
5.9,0,124,379,258,2000,Color
7.1,0,102,289,0,2007,Color
6,0,90,288,10,2004,Color
6.5,0,130,503,386,2006,Color
8.3,0,45,67,,,Color
5.7,0,118,323,473,2005,Color
7.6,0,163,824,14000,2005,Color
6.6,0,142,394,845,2003,Color
5.4,0,100,120,126,2010,Color
7.3,43000,116,360,0,2015,Color
6.5,0,131,342,274,2004,Color
6.6,0,91,229,27,2006,Color
6.6,0,123,261,272,2001,Color
5.9,0,134,180,109,1995,Color
6.7,0,148,217,72,1999,Color
6.1,30000,110,405,763,2011,Color
6.6,0,113,288,17,2005,Color
6.6,0,94,377,383,2000,Color
5.3,648,116,254,41,2003,Color
6,0,99,373,545,1998,Color
6,0,84,119,10,2009,Color
4.7,683,93,171,253,2001,Color
6.1,1000,113,222,212,2004,Color
7.2,0,106,1344,0,2000,Color
6.4,70000,91,275,22,2015,Color
6.1,42000,128,918,0,2011,Color
5.9,880,98,241,0,1998,Color
6,0,134,274,272,1998,Color
6.3,14000,97,126,6,2016,Color
5.6,0,112,138,72,2008,Color
6.4,0,153,301,0,2009,Color
7.1,0,110,289,532,2007,Color
6.6,0,122,437,285,2006,Color
4.6,266,87,79,41,2001,Color
8.4,17000,178,1065,0,1995,Color
7.1,0,125,657,0,2005,Color
7.4,0,87,763,30,2007,Color
6.9,0,152,376,0,2001,Color
4.5,886,116,346,212,2001,Color
7.1,2000,109,124,218,2004,Color
6.5,0,108,2003,0,2004,Color
5.3,694,85,98,84,1998,Color
6.7,0,106,2335,0,2002,Color
7.2,0,93,483,80,2004,Color
7.2,0,117,584,487,2006,Color
5.5,0,116,255,0,1999,Color
5.8,10000,132,737,357,2002,Color
6,16000,92,133,5,2015,Color
6.6,1000,139,158,2000,1996,Color
8.3,42000,153,1527,16000,2009,Color
6.7,13000,142,363,14000,1991,Color
7.1,0,124,316,212,1990,Color
6,0,117,340,69,2003,Color
7.5,14000,45,110,,,Color
6.9,0,141,1248,488,2001,Color
5.6,0,110,1040,0,2006,Color
5.6,0,109,1283,545,2004,Color
4.5,2000,88,98,84,2009,Color
7.1,5000,124,742,130,2002,Color
6.5,45000,119,698,845,2013,Color
6.4,1000,103,515,906,1998,Color
5.8,25000,116,800,473,2011,Color
8,26000,125,816,13000,2003,Color
6.2,0,125,137,0,1994,Color
7.2,28000,146,488,14000,2011,Black and White
6.1,34000,118,403,0,2014,Color
7.6,0,171,380,0,1989,Color
6.3,13000,136,245,0,2010,Color
6.3,37000,92,423,28,2014,Color
6.3,0,116,281,380,1998,Color
7.7,15000,127,492,905,2007,Color
7,0,136,119,218,1997,Color
5.3,0,111,141,2000,2011,Color
5.6,792,116,189,541,2002,Color
5.2,0,113,814,43,2005,Color
5.4,531,97,141,84,2002,Color
6.4,24000,88,271,24,2012,Color
5.9,33000,136,356,163,2012,Color
6.3,997,125,196,40,2002,Color
6.5,17000,116,157,5,2011,Color
3,584,98,289,323,2002,Color
3.6,391,91,277,8,2002,Color
5.8,815,97,126,13,1998,Color
6.2,2000,95,123,101,2001,Color
5.6,5000,88,54,6,2013,Color
5.4,11000,133,207,0,2015,Color
6.1,0,106,618,14,2004,Color
4.2,764,116,313,105,2006,Color
6.7,34000,115,279,101,2013,Color
4.2,12000,99,202,212,2014,Color
6.4,0,124,568,31,2002,Color
4.9,29000,124,498,171,2010,Color
6.8,0,124,445,0,2001,Color
7.7,31000,87,296,275,2010,Color
5.6,617,105,62,29,1995,Color
6.4,30000,125,229,3000,2015,Color
7.2,29000,141,172,448,2009,Color
6,0,121,435,18,1999,Color
5.9,10000,111,143,101,2011,Color
7.9,0,157,521,0,1999,Color
6.8,12000,117,113,44,2016,Color
7.1,0,128,263,0,2008,Color
5.9,0,114,264,116,2010,Color
5.9,98000,105,348,335,2012,Color
6.2,0,113,274,36,1999,Color
7.4,0,30,87,,,Color
7,0,121,297,38,1998,Color
5.4,0,102,174,4,2007,Color
8.6,22000,169,2277,14000,1998,Color
6.5,32000,132,346,76,2014,Color
6.4,0,127,395,278,2000,Color
7.6,3000,103,467,77,2002,Color
5.5,4000,136,662,759,2003,Color
7.4,71000,150,720,14000,2012,Color
8.7,25000,136,3646,0,1999,Color
7.6,5000,140,296,2000,1995,Color
5.5,1000,104,116,54,2002,Color
7.6,144000,158,845,0,2012,Color
6.5,0,119,556,0,1998,Color
6.9,0,106,277,285,2008,Color
6.7,0,136,318,258,1998,Color
6.6,25000,95,285,480,2010,Color
7.2,35000,137,351,11000,2014,Color
6.4,0,130,326,16000,2000,Black and White
6.4,0,124,172,212,1993,Color
6,0,108,189,610,1996,Color
6.1,0,104,139,226,2000,Color
6,0,129,564,0,2006,Color
6.4,0,117,264,179,2003,Color
6.4,59000,99,310,119,2012,Color
7.3,10000,159,1500,0,1999,Color
5.2,16000,118,213,87,2014,Color
6.6,23000,105,221,43,2015,Color
6.3,18000,103,238,368,2012,Color
5.9,0,122,514,687,2004,Color
6.4,0,114,383,468,1984,Color
6.7,688,143,157,0,1998,Color
5.4,32000,96,423,545,2012,Color
6.4,0,111,211,545,2008,Color
6.7,4000,121,285,212,1996,Color
6.2,892,135,265,138,2000,Color
6.1,0,101,202,4000,2005,Color
8.8,48000,151,2968,21000,1999,Color
7.1,0,131,175,368,2006,Color
8.1,0,60,28,,,Color
5.7,0,100,249,36,1991,Color
5,177,105,69,0,2000,Color
5.1,15000,92,194,72,2014,Color
6.9,0,130,138,2000,2005,Color
4.8,0,100,380,38,2005,Color
6.5,32000,102,239,436,2014,Black and White
5.1,295,133,290,521,1999,Color
7.1,40000,121,265,175,2015,Color
7.5,26000,147,482,670,2006,Color
6.2,0,94,795,116,2002,Color
6.3,0,94,77,42,2009,Color
8.1,19000,127,895,14000,1993,Color
6.6,0,212,145,759,1994,Color
6.9,0,141,133,176,1994,Color
6.1,0,103,86,10,2015,Color
4.3,0,98,187,322,2006,Color
6.6,0,116,602,84,2000,Color
6.8,0,114,214,0,1995,Color
3.8,0,87,250,12,2008,Color
5.9,0,125,399,11,2001,Color
7.9,114000,187,1018,16000,2015,Color
6.3,0,93,246,8,2007,Color
5.5,0,95,82,25,2011,Color
7.7,13000,117,2073,0,2006,Color
6.3,0,106,428,116,2004,Color
7.1,11000,115,320,64,2008,Color
8.5,30000,189,1377,0,1999,Color
5.9,0,100,255,12,2007,Color
5.8,912,81,251,10,2005,Color
8.1,146000,149,1127,21000,2014,Color
7.9,0,119,849,218,2002,Color
7.2,0,130,416,258,1995,Color
6.3,885,116,274,165,1999,Color
8.1,18000,103,877,608,1998,Color
7,0,99,353,59,1998,Color
5.5,886,92,116,41,2003,Color
6.7,22000,109,172,175,2013,Color
5.2,0,87,235,6,2001,Color
7,0,111,497,473,2003,Color
6.1,0,101,269,30,2002,Color
6.6,0,83,289,35,1998,Color
5.5,0,113,144,0,2009,Color
5.9,0,107,97,12000,1990,Color
5.4,781,94,128,163,2005,Color
6.4,24000,132,360,47,2015,Color
5.7,26000,140,302,708,2010,Color
6.7,0,125,322,420,2000,Color
7.1,32000,111,328,124,2010,Color
6.8,0,156,452,0,1999,Color
6.5,0,170,263,0,1998,Color
7.6,0,120,836,0,2004,Color
5.5,0,100,432,55,2002,Color
6.5,0,115,323,13,2004,Color
7,38000,130,448,188,2012,Color
5.8,0,105,643,212,1999,Color
7.3,0,111,223,197,2009,Color
6.6,42000,106,411,0,2011,Color
4.4,858,89,181,18,2003,Color
7.7,10000,100,279,253,2009,Black and White
5,6000,91,1264,0,2008,Color
7.7,14000,146,690,12000,2004,Color
4.4,747,98,83,48,2006,Color
6.1,0,101,308,480,2004,Color
5.4,0,94,162,32,1996,Color
6.8,0,132,597,0,2004,Color
6.5,1000,115,181,234,1998,Color
7,12000,92,176,28,2012,Color
6.3,0,124,227,105,1997,Color
6.3,0,119,347,610,2003,Color
6.1,829,124,54,50,1996,Color
6.1,0,93,106,18,2008,Color
7.3,0,22,41,,,Color
5.3,797,98,207,11,2002,Color
